pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Y.J3	0.27067066890089314	-0.04850401262947553	0.1318687766414676	0.04056317285503141	-0.12503991846255622	0.11646209763760601	0.10669407757049439	-0.09759068678365011	0.04667953065798623	0.03593343508626065	0.006580239876724298	-0.02030405949579975	0.06348688353299667	-0.011002165455461095	-0.0043795823460592515	0.012354754773149729	0.0010240042284622832	0.0356855742446947	-0.006069585129979921	-0.017904427157431055	-0.017235261134834416	0.001606935390168841	-0.00229266299449738	0.0036948567854901424	-0.009228245140399818	0.0034613327451625863	-0.001730552056477707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.J4	0.27897792692099754	0.029012251807324987	0.0010547896953523226	0.14801464315126162	-0.02387663565630593	-0.05364101488217473	0.05484587946125065	-0.03972952718368562	0.02699894010793199	0.06719835012945433	0.020383773866071313	0.021504404135957212	-0.03344939629667739	-0.032474743303295646	-0.009096584029150265	-0.004112409207421039	0.015346082281965894	0.01191291778063822	-0.0262506719400739	-0.03771043573444649	-0.0013781890508915132	-0.017230072143879522	0.0006449087704660339	-0.0014883738729960586	-0.008533064084379425	0.005912766321372771	8.373352930517148e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.J5	0.31576268288974524	-0.10452659318439739	0.09622814588336796	0.004570525289713058	0.04664464514494736	0.0613640255525005	0.1286626587356836	0.002305844922480346	0.017706743800489186	-0.026857109346738867	0.02715665980740934	-0.01217453794011666	0.012804610273472346	0.039563913917176265	-0.026667505828433545	-0.010608740956772496	0.01903261654847178	-0.03936337003074391	0.02074725117638317	0.032406490102464054	0.008898571860667327	0.007726826211320215	-0.0030504606400331476	0.001959223376845287	0.0002907013449197117	-0.0048055232284972185	0.0006014088566832321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.U1	0.29833854776294044	-0.10377354522583371	0.08538964815313697	0.039378095328197894	-0.05458164004511439	0.1180528433350521	-0.031508353590648325	0.008624062273143163	-0.11417591032540564	-0.0600841175726295	0.006502898025249704	0.029246582192621925	-0.00746655512980617	-0.024690142794220212	-0.05153455411316736	-0.035703441611920544	0.00630694962600582	-0.02298246939207762	0.006943619868339079	-0.0212162013764674	0.0018151239507633646	-0.0031157953534425567	0.005027313647528296	0.0023788344986877415	-0.001710056427699264	0.003907951091143751	0.0030946673889520808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.U2	-0.05102067708182229	0.13254708923734265	-0.31877314594157813	0.04052292216190343	-0.07633368385606003	0.08424774483291786	0.030150794239750426	0.07662145622101894	0.00337255403202575	0.034622202861059076	0.03440881469056151	-0.07666591304129082	0.06721244663490086	-0.004191323685628679	0.044667371982977454	-0.012543405073739477	0.010376715864182812	-0.010155522141977001	0.013798031554868735	-0.004172299679311415	-0.01191827889014235	0.0024927071092554604	-0.010728856984223056	-0.010149491392361178	-0.004620790560391096	0.0005454721508296163	0.0006575987185721129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.U3	-0.11008294337065341	0.08046301790463867	-0.2526922318873681	0.06876031946610378	-0.03208542600858411	0.10250752973735587	0.07960623546214565	0.06267977729006799	-0.03581154954626519	0.06142653336456081	-0.011828233282397958	-0.0069953081545458965	-0.02670269817885827	-0.03144957624085681	0.01609969608663992	-0.0013940748941812173	-0.011995219440850347	0.0013378363040775383	0.0055875795162291944	0.021141629410574906	0.012088140338659754	-0.02764580646144782	0.0033466574415028	-0.010462447279965733	-0.004127913541885174	0.002740538646808839	-0.000644870434372602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.U4	0.36179283354219555	0.04155504021109449	-0.021959712137603376	0.16028254486454457	-0.06923941356945808	-0.013803599475635085	-0.09704556288984025	0.06271306518319948	-0.05806264986446327	-0.037619233135307746	-0.01889036699703304	0.04956052994330767	0.04947649988301384	-0.03773988964862247	0.03826809605239876	-0.04453340901491585	0.002971537415670329	0.010681978180938674	0.02790141227879194	0.0031544848419885296	0.008288795332016883	9.665941996634967e-06	-0.006753283856224763	-0.006026175378060238	0.0032584333338527855	-2.9199112139471997e-05	-0.0012179048996195318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y.U5	0.12851943103111013	-0.13914797873524598	0.09663648355410005	-0.04608023237541929	0.08522448030252694	0.07361798201155319	-0.028766917616077105	-0.0018033025256654915	-0.08435306674758747	0.03630536186089416	-0.019399250025742595	-0.01811425572004147	0.012872055415104769	0.020648971856958385	0.0468444733259228	0.02031623249506385	-0.030671601032628844	0.03541351198260855	-0.035671982476608	-0.013450767603693193	-0.009212978638176538	-0.020624434832197766	0.017717311052395355	0.00964669102828937	0.015206024950079345	-0.003308338970418772	0.001039534961837224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z.K1	-0.0883939905344724	0.4045870271885647	0.007644234264097431	-0.042698466271434574	0.04624962440951055	-0.07931322408142619	-0.08728700826431825	0.033949918615850706	-0.046970341414971674	0.08915319940372439	0.07595646277212716	0.04477647807906302	0.0397222655347132	0.01564166821952772	-0.02839473804928983	0.01510038092203646	0.009880010812549024	-0.019442251089799086	-0.005211502819080979	0.0029060784018760263	0.002666811536532609	0.011295603781106485	-0.007336310349159371	-0.00041900598335008806	0.004629793894895545	0.0019890602899650684	0.0006757427248692991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z.K2	-0.14987250538290517	0.32424431033240964	0.16951442611214693	0.025901835313957722	-0.045535045665676246	0.01846865152893966	0.0945574386238722	0.02852789671853564	-0.05702537236253874	-0.006741286456951555	-0.000570281371425421	0.0025672521880811612	-0.02793327551537694	0.027666022668160747	-0.026380305304514105	-0.0036055180762884958	0.033491130793004115	0.021289382832595793	0.00530288656802702	0.0009546111780779759	0.0057645467752969635	-0.002555767410096021	-0.008712558834119343	-0.02198103024517591	0.006920677652542387	-0.004141631601164062	0.0029789500755363456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z.K3	-0.3069942442030741	0.2160599230190948	0.2153706480317341	0.04104123905872492	0.061327339217153005	0.0929835026764346	-0.04254943193074672	0.04293378831581751	-0.07637732529645101	0.0662455208709636	0.005889189811933157	0.005651044569492873	0.047074594400978095	0.013925677476768051	-0.027475525181978742	0.04318075145375505	-0.033788616317501685	-0.01698333665160656	0.00033628571443180736	-0.011604529388562781	-0.0032269530291916576	0.0012174761659309286	-0.01047069690303057	0.0012347410082695354	-0.001556402247528294	-0.0022300384441227335	-0.0018146568116201845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z.K4	-0.10974215014905558	0.2603897264222271	0.10309201806563019	0.0660836675904036	0.03315926712742203	-0.04066475726527707	0.036266722956109484	-0.012461348010197635	-0.0954289105574469	0.023728573797602303	0.046289378837705654	0.028148635339976528	-0.030294590193660483	-0.0011256375069282874	0.029331118270722597	0.008366877972266987	0.011598433133625474	-0.005286013210790583	0.016682862798895366	0.023942058757429302	-0.015655002620717454	0.017032061678189714	0.02971635939716099	0.017307584623187044	-0.008446914676596029	0.004279652916536462	-0.004330497183401176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z.K5	-0.2600507869228544	0.17503282153036032	0.28503328016201035	-0.01279325821958909	-0.03421098328886644	0.02364567035263516	-0.015279965042060436	0.042359271056534344	0.01439666085642776	0.024655297897392188	0.0512204725429157	-0.0034941307455516966	-0.024252679884436364	-0.00822829263004357	0.03244271265737362	0.00024389916883731626	0.05265855330459056	0.03296706284559099	0.0018270021583930347	-0.018365435684119465	0.0026741369047571556	0.005938764012648269	0.003625991292060793	0.008294407008417043	-0.004074909682642283	-0.0019046281271003973	0.0027050455269607447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z.M1	-0.035452356883801495	-0.12802890356531363	0.016127147258194727	-0.06788265428861591	0.06677489854961839	0.08817001320420957	-0.043779118916588276	-0.04000493525525311	-0.03680152638332254	-0.01675035859836036	-0.04823519835123662	-0.007402732553894937	0.017273441063911675	0.05359569906308552	0.029686423423511354	0.01699251652830517	-0.01881600301476661	0.004093905980269387	-0.03216684282346321	-0.004271904848688267	0.017073963538683495	0.026355265910727194	0.015786741785335085	-0.028186694638451845	-0.018389247350334682	-0.0011718075903448624	0.001123471856482083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z.M2	0.23572963164219404	-0.23577850541589057	0.2320301083528227	-0.019750764624560272	-0.1765676660833082	0.09979758537297538	-0.07378726360330418	0.016338058889078026	0.032067864770237986	-0.020006045999444968	0.050209996519496175	-0.01987627624029027	-0.01616815277129827	-0.038185476134137336	0.017848442251779565	0.03421607995771053	-0.0057736388229736564	0.0007044395758131581	0.0188572417595203	0.02399657962088617	0.0029606928625996007	0.0045465580753375045	-0.008607906913334433	-0.004257807216864374	0.004369532966684412	-0.0005272293845559516	-0.0007578865107618673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Z.M3	-0.018224526720664182	0.029302140547383258	-0.1940048575844423	0.16480354532177535	0.029954269186512273	-0.04622300621079132	0.036510909481099925	-0.018394155119832303	0.016025697470556096	-0.025128808192439116	0.025663367136774588	0.051067874866605564	-0.04912463358454912	0.026928840135796252	0.03612337228195466	-0.014629965131316786	-0.025419459878209216	-0.02885404089594135	-0.023796220878257928	-0.0036094091930655003	0.008202137811417027	-0.004393869065731755	0.003023212798379261	-0.004177770092198905	-0.01366816795749438	0.00338615576268402	-2.338154997482993e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
